product_id,product_name,category,unit_price,is_active
101,Cadeira Ergonomica Studio 101,Moveis,1549.90,true
102,Halteres Ajustaveis Plus 102,Esporte,349.90,true
103,Teclado Mecanico Compact 103,Eletronicos,579.90,true
104,Mochila Executiva Compact 104,Moda,539.90,true
105,Estante Modular Pro 105,Moveis,779.90,false
106,Cadeira Ergonomica Pro 106,Moveis,1329.90,true
107,Bicicleta Urbana Basic 107,Esporte,4279.90,true
108,Monitor 27 Compact 108,Eletronicos,2199.90,true
109,Halteres Ajustaveis Compact 109,Esporte,459.90,true
110,Cadeira Ergonomica Max 110,Moveis,1389.90,true
111,Tenis Running Max 111,Esporte,629.90,true
112,Monitor 27 Compact 112,Eletronicos,2329.90,true
113,Cadeira Ergonomica Max 113,Moveis,2249.90,true
114,Oculos de Sol Plus 114,Moda,429.90,true
115,Mochila Executiva Compact 115,Moda,619.90,true
116,Estante Modular Max 116,Moveis,589.90,true
117,Notebook Pro Pro 117,Eletronicos,7489.90,false
118,Jaqueta Corta Vento Compact 118,Moda,629.90,true
119,Mochila Executiva Max 119,Moda,499.90,true
120,Luminaria Smart Plus 120,Casa,369.90,true
121,Mochila Executiva Basic 121,Moda,489.90,true
122,Tenis Running Plus 122,Esporte,269.90,true
123,Gaveteiro Pro 123,Moveis,339.90,true
124,Tenis Running Plus 124,Esporte,269.90,true
125,Oculos de Sol Basic 125,Moda,569.90,true
126,Headset USB Compact 126,Eletronicos,479.90,true
127,Bicicleta Urbana Studio 127,Esporte,3219.90,true
128,Relogio Casual Studio 128,Moda,669.90,true
129,Halteres Ajustaveis Pro 129,Esporte,1299.90,true
130,Halteres Ajustaveis Studio 130,Esporte,1229.90,true
131,Luminaria Smart Basic 131,Casa,119.90,true
132,Mouse Sem Fio Pro 132,Eletronicos,229.90,true
133,Purificador de Ar Compact 133,Casa,759.90,true
134,Esteira Compacta Compact 134,Esporte,6139.90,true
135,Aspirador Robo Plus 135,Casa,1249.90,true
136,Estante Modular Plus 136,Moveis,1349.90,true
137,Bicicleta Urbana Compact 137,Esporte,4229.90,true
138,Tenis Running Compact 138,Esporte,589.90,true
139,Bicicleta Urbana Studio 139,Esporte,3879.90,true
140,Tenis Running Studio 140,Esporte,709.90,true
141,Jaqueta Corta Vento Compact 141,Moda,599.90,true
142,Relogio Casual Studio 142,Moda,979.90,true
143,Jaqueta Corta Vento Pro 143,Moda,389.90,true
